Harley-Davidson CVO Street Glide,2020,Touring,105.0,0,169.5,1923.0,0,392.8,40539.0
Harley-Davidson CVO Street Glide,2020,Touring,105.0,0,169.5,1923.0,0,392.8,40539.0
Harley-Davidson CVO Tri Glide,2020,Touring,105.0,0,169.5,1917.4,0,575.6,48999.0
Harley-Davidson CVO Tri Glide,2020,Touring,105.0,0,169.5,1917.4,0,575.6,48999.0
Harley-Davidson Electra Glide Standard,2020,Touring,90.0,0,150.0,1746.0,0,372.0,18999.0
Harley-Davidson Electra Glide Standard,2020,Touring,90.0,0,150.0,1746.0,0,372.0,18999.0
Harley-Davidson FXDR 114,2020,Custom / cruiser,100.0,0,160.0,1868.0,0,303.0,18999.0
Harley-Davidson FXDR 114,2020,Custom / cruiser,100.0,0,160.0,1868.0,0,303.0,18999.0
Harley-Davidson Fat Boy 114,2020,Custom / cruiser,100.0,0,160.0,1868.0,0,306.0,18799.0
Harley-Davidson Fat Boy 114,2020,Custom / cruiser,100.0,0,160.0,1868.0,0,306.0,18799.0
Harley-Davidson Freewheeler,2020,Custom / cruiser,100.0,0,165.4,1868.0,0,507.1,27999.0
Harley-Davidson Freewheeler,2020,Custom / cruiser,100.0,0,165.4,1868.0,0,507.1,27999.0
Harley-Davidson Heritage Classic,2020,Custom / cruiser,86.0,0,147.8,1746.0,0,328.0,18999.0
Harley-Davidson Heritage Classic,2020,Custom / cruiser,86.0,0,147.8,1746.0,0,328.0,18999.0
Harley-Davidson Iron 1200,2020,Custom / cruiser,0,0,99.0,1202.0,0,255.8,9999.0
Harley-Davidson Iron 1200,2020,Custom / cruiser,0,0,99.0,1202.0,0,255.8,9999.0
Harley-Davidson Iron 883,2020,Custom / cruiser,51.0,0,73.0,883.0,300.0,256.0,8999.0
Harley-Davidson Iron 883,2020,Custom / cruiser,51.0,0,73.0,883.0,300.0,256.0,8999.0
Harley-Davidson LiveWire,2020,Sport,105.0,154.5,116.6,0,0,249.0,29799.0
Harley-Davidson LiveWire,2020,Sport,105.0,154.5,116.6,0,0,249.0,29799.0
Harley-Davidson Low Rider,2020,Custom / cruiser,86.0,0,149.2,1746.0,0,300.0,14899.0
Harley-Davidson Low Rider,2020,Custom / cruiser,86.0,0,149.2,1746.0,0,300.0,14899.0
Harley-Davidson Road Glide,2020,Touring,89.0,0,150.0,1746.0,0,388.0,21699.0
Harley-Davidson Road Glide,2020,Touring,89.0,0,150.0,1746.0,0,388.0,21699.0
Harley-Davidson Road Glide Limited,2020,Touring,89.0,0,165.4,1868.0,0,422.8,28299.0
Harley-Davidson Road Glide Limited,2020,Touring,89.0,0,165.4,1868.0,0,422.8,28299.0
Harley-Davidson Road Glide Special,2020,Touring,100.0,0,165.4,1868.0,0,388.0,27299.0
Harley-Davidson Road Glide Special,2020,Touring,100.0,0,165.4,1868.0,0,388.0,27299.0
Harley-Davidson Road King Special,2020,Touring,100.0,0,165.4,1868.0,0,372.0,22999.0
Harley-Davidson Road King Special,2020,Touring,100.0,0,165.4,1868.0,0,372.0,22999.0
Harley-Davidson Roadster,2020,Naked bike,67.0,0,103.1,1202.0,0,259.0,11499.0
Harley-Davidson Roadster,2020,Naked bike,67.0,0,103.1,1202.0,0,259.0,11499.0
Harley-Davidson Softail Heritage Classic 114,2020,Custom / cruiser,94.0,0,161.4,1868.0,0,330.0,20499.0
Harley-Davidson Softail Heritage Classic 114,2020,Custom / cruiser,94.0,0,161.4,1868.0,0,330.0,20499.0
Harley-Davidson Softail Low Rider S,2020,Custom / cruiser,86.0,0,161.4,1868.2,0,308.0,17999.0
Harley-Davidson Softail Low Rider S,2020,Custom / cruiser,86.0,0,161.4,1868.2,0,308.0,17999.0
Harley-Davidson Softail Slim,2020,Custom / cruiser,86.0,0,149.2,1746.0,0,304.4,15999.0
Harley-Davidson Softail Slim,2020,Custom / cruiser,86.0,0,149.2,1746.0,0,304.4,15999.0
Harley-Davidson Sport Glide,2020,Custom / cruiser,86.0,0,145.0,1746.0,0,317.0,18599.0
Harley-Davidson Sport Glide,2020,Custom / cruiser,86.0,0,145.0,1746.0,0,317.0,18599.0
Harley-Davidson Sportster Forty-Eight,2020,Custom / cruiser,65.0,0,99.0,1202.0,0,252.0,11299.0
Harley-Davidson Sportster Forty-Eight,2020,Custom / cruiser,65.0,0,99.0,1202.0,0,252.0,11299.0
